VARIABLES = "X","Y","u"
ZONE I=101,J=101,F=POINT
0.03	0.4	0.0361704
0.03	0.41	0.0348056
0.03	0.42	0.0335003
0.03	0.43	0.0322506
0.03	0.44	0.0310531
0.03	0.45	0.0299046
0.03	0.46	0.028802
0.03	0.47	0.0277428
0.03	0.48	0.0267245
0.03	0.49	0.0257446
0.03	0.5	0.0248012
0.03	0.51	0.0238922
0.03	0.52	0.0230158
0.03	0.53	0.0221704
0.03	0.54	0.0213542
0.03	0.55	0.0205659
0.03	0.56	0.019804
0.03	0.57	0.0190673
0.03	0.58	0.0183545
0.03	0.59	0.0176644
0.03	0.6	0.016996
0.03	0.61	0.0163483
0.03	0.62	0.0157202
0.03	0.63	0.0151109
0.03	0.64	0.0145195
0.03	0.65	0.0139451
0.03	0.66	0.0133869
0.03	0.67	0.0128443
0.03	0.68	0.0123164
0.03	0.69	0.0118026
0.03	0.7	0.0113022
0.03	0.71	0.0108146
0.03	0.72	0.0103391
0.03	0.73	0.00987528
0.03	0.74	0.00942243
0.03	0.75	0.00898006
0.03	0.76	0.00854763
0.03	0.77	0.00812463
0.03	0.78	0.00771057
0.03	0.79	0.00730496
0.03	0.8	0.00690733
0.03	0.81	0.00651725
0.03	0.82	0.00613425
0.03	0.83	0.00575792
0.03	0.84	0.00538783
0.03	0.85	0.00502357
0.03	0.86	0.00466473
0.03	0.87	0.00431092
0.03	0.88	0.00396176
0.03	0.89	0.00361686
0.03	0.9	0.00327584
0.03	0.91	0.00293834
0.03	0.92	0.00260399
0.03	0.93	0.00227243
0.03	0.94	0.0019433
0.03	0.95	0.00161625
0.03	0.96	0.00129093
0.03	0.97	0.000966996
0.03	0.98	0.000644091
0.03	0.99	0.000321873
0.03	1	0
0.04	0	1
0.04	0.01	0.841058
0.04	0.02	0.701641
0.04	0.03	0.587985
0.04	0.04	0.498217
0.04	0.05	0.427839
0.04	0.06	0.37235
0.04	0.07	0.328076
0.04	0.08	0.29224
0.04	0.09	0.262801
0.04	0.1	0.238271
0.04	0.11	0.217564
0.04	0.12	0.199872
0.04	0.13	0.184593
0.04	0.14	0.171271
0.04	0.15	0.159552
0.04	0.16	0.149163
0.04	0.17	0.139889
0.04	0.18	0.131556
0.04	0.19	0.124026
0.04	0.2	0.117185
0.04	0.21	0.110942
0.04	0.22	0.105218
0.04	0.23	0.0999503
0.04	0.24	0.0950837
0.04	0.25	0.0905729
0.04	0.26	0.0863788
0.04	0.27	0.0824679
0.04	0.28	0.0788114
0.04	0.29	0.0753843
0.04	0.3	0.0721649
0.04	0.31	0.0691342
0.04	0.32	0.0662754
0.04	0.33	0.0635738
0.04	0.34	0.0610163
0.04	0.35	0.0585914
0.04	0.36	0.0562887
0.04	0.37	0.0540989
0.04	0.38	0.0520139
0.04	0.39	0.0500259
0.04	0.4	0.0481284
0.04	0.41	0.0463153
0.04	0.42	0.0445808
0.04	0.43	0.0429201
0.04	0.44	0.0413284
0.04	0.45	0.0398016
0.04	0.46	0.0383358
0.04	0.47	0.0369274
0.04	0.48	0.0355732
0.04	0.49	0.03427
0.04	0.5	0.0330152
0.04	0.51	0.0318061
0.04	0.52	0.0306402
0.04	0.53	0.0295154
0.04	0.54	0.0284295
0.04	0.55	0.0273806
0.04	0.56	0.0263668
0.04	0.57	0.0253864
0.04	0.58	0.0244377
0.04	0.59	0.0235194
0.04	0.6	0.0226298
0.04	0.61	0.0217676
0.04	0.62	0.0209317
0.04	0.63	0.0201206
0.04	0.64	0.0193333
0.04	0.65	0.0185687
0.04	0.66	0.0178256
0.04	0.67	0.0171032
0.04	0.68	0.0164004
0.04	0.69	0.0157164
0.04	0.7	0.0150502
0.04	0.71	0.014401
0.04	0.72	0.0137679
0.04	0.73	0.0131503
0.04	0.74	0.0125474
0.04	0.75	0.0119584
0.04	0.76	0.0113826
0.04	0.77	0.0108193
0.04	0.78	0.010268
0.04	0.79	0.00972787
0.04	0.8	0.0091984
0.04	0.81	0.00867895
0.04	0.82	0.00816895
0.04	0.83	0.00766782
0.04	0.84	0.00717498
0.04	0.85	0.00668991
0.04	0.86	0.00621206
0.04	0.87	0.00574091
0.04	0.88	0.00527593
0.04	0.89	0.00481663
0.04	0.9	0.0043625
0.04	0.91	0.00391305
0.04	0.92	0.00346779
0.04	0.93	0.00302625
0.04	0.94	0.00258794
0.04	0.95	0.00215241
0.04	0.96	0.00171917
0.04	0.97	0.00128777
0.04	0.98	0.000857753
0.04	0.99	0.000428648
0.04	1	0
0.05	0	1
0.05	0.01	0.872316
0.05	0.02	0.754905
0.05	0.03	0.653084
